Indexcd,Idxtrd01,Idxtrd08
906,2013/5/23,-1.2219
906,2013/5/24,0.8003
906,2013/5/27,0.3182
906,2013/5/28,1.3429
906,2013/5/29,0.1314
906,2013/5/30,-0.1785
906,2013/5/31,-0.9499
906,2013/6/3,-0.2824
906,2013/6/4,-1.5538
906,2013/6/5,-0.0489
906,2013/6/6,-1.3986
906,2013/6/7,-1.7869
906,2013/6/13,-3.2444
906,2013/6/14,1.0202
906,2013/6/17,-0.3428
906,2013/6/18,0.5509
906,2013/6/19,-0.7131
906,2013/6/20,-3.3026
906,2013/6/21,-0.2656
906,2013/6/24,-6.2799
906,2013/6/25,-0.307
906,2013/6/26,0.6182
906,2013/6/27,-0.6667
906,2013/6/28,1.4036
906,2013/7/1,0.9567
906,2013/7/2,0.7049
906,2013/7/3,-0.5731
906,2013/7/4,0.813
906,2013/7/5,0.022
906,2013/7/8,-3.1033
906,2013/7/9,0.1169
906,2013/7/10,2.9077
906,2013/7/11,4.1607
906,2013/7/12,-1.8789
906,2013/7/15,1.5513
906,2013/7/16,0.6512
906,2013/7/17,-1.4949
906,2013/7/18,-1.2548
906,2013/7/19,-2.4565
906,2013/7/22,0.9033
906,2013/7/23,2.7681
906,2013/7/24,-0.3914
906,2013/7/25,-0.8743
906,2013/7/26,-0.4836
906,2013/7/29,-2.1014
906,2013/7/30,0.3404
906,2013/7/31,0.2705
906,2013/8/1,2.451
906,2013/8/2,0.1542
906,2013/8/5,1.4563
906,2013/8/6,0.7765
906,2013/8/7,-0.6694
906,2013/8/8,-0.0558
906,2013/8/9,0.3928
906,2013/8/12,2.5741
906,2013/8/13,0.3337
906,2013/8/14,-0.4151
906,2013/8/15,-1.2176
906,2013/8/16,-1.1042
906,2013/8/19,1.2747
906,2013/8/20,-0.6718
906,2013/8/21,0.0745
906,2013/8/22,-0.0855
906,2013/8/23,-0.607
906,2013/8/26,2.1173
906,2013/8/27,0.3673
906,2013/8/28,-0.6021
906,2013/8/29,-0.3292
906,2013/8/30,-0.4016
906,2013/9/2,0.3891
906,2013/9/3,1.4763
906,2013/9/4,-0.047
906,2013/9/5,-0.2307
906,2013/9/6,0.7165
906,2013/9/9,2.8608
906,2013/9/10,1.3049
906,2013/9/11,-0.0038
906,2013/9/12,0.8091
906,2013/9/13,-0.521
906,2013/9/16,-0.2854
906,2013/9/17,-1.9841
906,2013/9/18,0.4018
906,2013/9/23,1.7366
906,2013/9/24,-0.8256
906,2013/9/25,-0.5447
906,2013/9/26,-1.9003
906,2013/9/27,0.426
906,2013/9/30,0.7764
906,2013/10/8,1.4451
906,2013/10/9,0.6425
906,2013/10/10,-0.8699
906,2013/10/11,1.6361
906,2013/10/14,0.3928
906,2013/10/15,-0.1111
906,2013/10/16,-2.098
906,2013/10/17,-0.2857
906,2013/10/18,0.4789
906,2013/10/21,2.0286
906,2013/10/22,-1.0333
906,2013/10/23,-1.4995
906,2013/10/24,-0.7225
906,2013/10/25,-1.4969
906,2013/10/28,-0.171
906,2013/10/29,-0.5318
906,2013/10/30,1.5297
906,2013/10/31,-1.3873
906,2013/11/1,0.2733
906,2013/11/4,0.0368
906,2013/11/5,0.4427
906,2013/11/6,-1.2151
906,2013/11/7,-0.7711
906,2013/11/8,-1.4195
906,2013/11/11,0.3684
